iter	Passed	Remaining
0	93	93454
1	94	47000
2	94	31477
3	95	23712
4	95	19062
5	96	16065
6	97	13855
7	98	12177
8	98	10872
9	99	9825
10	99	8980
11	100	8269
12	101	7691
13	102	7194
14	102	6743
15	103	6347
16	103	6000
17	104	5694
18	104	5417
19	105	5171
20	106	4975
21	107	4783
22	108	4594
23	108	4422
24	109	4261
25	110	4126
26	110	3991
27	111	3865
28	111	3746
29	112	3638
30	113	3540
31	114	3456
32	114	3365
33	115	3278
34	116	3200
35	116	3123
36	117	3049
37	117	2980
38	118	2917
39	119	2867
40	120	2813
41	120	2759
42	121	2704
43	122	2653
44	122	2603
45	123	2555
46	123	2509
47	124	2473
48	125	2436
49	126	2397
50	126	2359
51	127	2321
52	127	2284
53	128	2249
54	128	2215
55	129	2182
56	130	2153
57	130	2125
58	131	2096
59	132	2068
60	132	2041
61	133	2014
62	133	1988
63	134	1962
64	134	1937
65	135	1913
66	136	1894
67	136	1877
68	137	1855
69	138	1834
70	138	1813
71	139	1794
72	139	1774
73	140	1755
74	140	1736
75	141	1719
76	142	1703
77	143	1690
78	143	1676
79	144	1661
80	144	1644
81	145	1628
82	145	1610
83	146	1595
84	146	1581
85	147	1566
86	148	1554
87	148	1542
88	149	1529
89	149	1516
90	150	1503
91	151	1490
92	151	1477
93	152	1465
94	152	1453
95	153	1441
96	153	1429
97	154	1419
98	155	1414
99	156	1405
100	156	1396
101	157	1386
102	158	1376
103	158	1365
104	159	1355
105	159	1346
106	160	1337
107	161	1329
108	161	1321
109	162	1314
110	162	1305
111	163	1296
112	164	1287
113	164	1279
114	165	1270
115	165	1261
116	166	1253
117	166	1247
118	167	1241
119	168	1234
120	168	1226
121	169	1218
122	169	1211
123	170	1203
124	170	1196
125	171	1189
126	171	1181
127	172	1175
128	173	1169
129	174	1166
130	174	1159
131	175	1153
132	175	1147
133	176	1140
134	177	1134
135	177	1128
136	178	1122
137	178	1115
138	179	1110
139	179	1105
140	180	1099
141	180	1093
142	181	1087
143	182	1082
144	182	1076
145	183	1070
146	183	1065
147	184	1059
148	184	1054
149	185	1050
150	186	1047
151	186	1042
152	187	1037
153	187	1032
154	188	1027
155	188	1022
156	189	1017
157	189	1012
158	190	1007
159	191	1003
160	191	998
161	192	994
162	192	990
163	193	985
164	193	981
165	194	977
166	195	973
167	195	968
168	196	965
169	196	961
170	197	959
171	198	955
172	199	952
173	199	949
174	200	945
175	201	941
176	201	937
177	202	933
178	202	929
179	203	925
180	203	922
181	204	920
182	205	917
183	206	913
184	206	909
185	207	906
186	207	902
187	208	898
188	208	895
189	209	891
190	209	888
191	210	885
192	211	883
193	211	880
194	212	877
195	213	874
196	213	871
197	214	867
198	214	864
199	215	861
200	216	858
201	216	856
202	217	853
203	217	850
204	218	847
205	219	844
206	219	841
207	220	838
208	220	834
209	221	831
210	221	828
211	222	826
212	223	824
213	223	821
214	224	818
215	224	816
216	225	813
217	226	811
218	226	808
219	227	805
220	227	802
221	228	799
222	229	798
223	229	796
224	230	793
225	230	790
226	231	788
227	231	785
228	232	782
229	233	780
230	233	777
231	234	775
232	234	773
233	235	771
234	236	769
235	236	766
236	237	763
237	237	761
238	238	758
239	238	756
240	239	753
241	239	751
242	240	748
243	240	746
244	241	744
245	242	742
246	242	739
247	243	737
248	243	735
249	244	733
250	244	731
251	245	728
252	246	726
253	246	724
254	247	722
255	247	720
256	249	720
257	249	718
258	250	716
259	250	714
260	251	712
261	252	709
262	252	707
263	253	705
264	253	703
265	254	701
266	254	699
267	255	697
268	255	694
269	256	692
270	256	690
271	257	688
272	257	686
273	258	684
274	258	682
275	259	680
276	259	678
277	260	676
278	261	674
279	261	672
280	262	670
281	262	668
282	263	666
283	263	664
284	264	663
285	264	661
286	265	659
287	265	657
288	266	655
